Y,4540606
Y,8600323
Y,2005026
Y,6100317
Y,8200371
Y,2000678
Y,4950814
Y,4970345
Y,8500050
Y,8550027
Y,3200343
Y,7830604
Y,3600377
Y,2240102
Y,2840116
Y,6030023
Y,8670413
Y,1100179
Y,4460022
Y,3240659
Y,8550331
Y,5155343
Y,7670210
Y,3610015
Y,7500038
Y,6100540
Y,4690384
Y,5000781
Y,4730997
Y,7570468
Y,5050402
Y,7885218
Y,5060369
Y,2240624
Y,3100909
Y,3400407
Y,5360493
Y,3460477
Y,2565195
Y,3560129
Y,8005495
Y,6270186
Y,6160107
Y,4690638
Y,2090218
Y,4980607
Y,4690725
Y,3460017
Y,4600570
Y,2200727
Y,6300015
Y,4690499
Y,2140207
Y,4600580
Y,7500012
Y,2950777
Y,2040065
Y,4690055
Y,3720536
Y,6270276
Y,2445130
Y,7050644
Y,4970275
Y,7350116
Y,3680212
Y,2540404
Y,2205209
Y,3720066
Y,2525375
Y,2240326
Y,8100204
Y,3660666
Y,4990385
Y,8800104
Y,4980418
Y,5110611
Y,2500352
Y,8150061
Y,3150021
Y,4980777
Y,3220503
Y,4935191
Y,8800083
Y,4540224
Y,3620085
Y,4860428
Y,2530084
Y,7570345
Y,7630533
Y,3330215
Y,2615642
Y,2415610
Y,3475085
Y,3350018
Y,9240012
Y,3400001
Y,4690754
Y,3320056
Y,3750404
Y,3660998
Y,2305107
Y,4940411
Y,5000111
Y,2000476
Y,2300107
Y,3350206
Y,3600433
Y,2635253
Y,3600561
Y,6160489
Y,3305228
Y,3440051
Y,4960397
Y,3320996
Y,2200677
Y,3270057
Y,3150111
Y,3270219
Y,7570714
Y,8300047
Y,2100019
Y,6320170
Y,7830011
Y,4860316
Y,3750068
Y,3360074
Y,4960448
Y,2565772
Y,3520211
Y,4550087
Y,4820412
Y,6160461
Y,2500363
Y,8100076
Y,3560047
Y,5225031
Y,3105017
Y,7570418
Y,4540687
Y,2715254
Y,4960233
Y,3570160
Y,3740223
Y,3040464
Y,6160124
Y,3530242
Y,4990237
Y,3100012
Y,5130467
Y,3700785
Y,3090821
Y,4660038
Y,4980116
