VN     TR1     |~BADKEY~                                                
VN     BR1     |~BADKEY~                                                
VN     HD1     |~BADKEY~                                                
VN     QN1     |~BADKEY~                                                
ID     CL2     |~BADKEY~                                                
ID     SM2     |~BADKEY~                                                
ID     HR2     |~BADKEY~                                                
ID13720  1     |~BADKEY~                                                
TH       2     |~BADKEY~                                                
TH400001 2     |~BADKEY~                                                
ID15141  2     |~BADKEY~                                                
ID40291  2     |~BADKEY~                                                
ID90222  2     |~BADKEY~                                                
TH10900  2     |~BADKEY~                                                
VN     DN2     |~BADKEY~                                                
ID     PL1     |~BADKEY~                                                
ID14340JL1     |~BADKEY~                                                
ID17411  2     |~BADKEY~                                                
TH54000  2     |~BADKEY~                                                
ID     JM2     |~BADKEY~                                                
VN     TL1     |~BADKEY~                                                
ID12530  2     |~BADKEY~                                                
VN     PH1     |~BADKEY~                                                
ID13770  2     |~BADKEY~                                                
ID76111  2     |~BADKEY~                                                
TH10110  2     |~BADKEY~                                                
TH10290  2     |~BADKEY~                                                
TH40000  2     |~BADKEY~                                                
VN     UK2     |~BADKEY~                                                
VN34000"X1     |~BADKEY~                                                
ID     AM2     |~BADKEY~                                                
ID10210  2     |~BADKEY~                                                
ID12510  1     |~BADKEY~                                                
TH10260  2     |~BADKEY~                                                
  101501 2     |~BADKEY~                                                
VN     HN1     |~BADKEY~                                                
VN     PH2     |~BADKEY~                                                
ID     MN2     |~BADKEY~                                                
TH10110SK2     |~BADKEY~                                                
TH83000  2     |~BADKEY~                                                
VN     NG2     |~BADKEY~                                                
VN     TR2     |~BADKEY~                                                
ID15411  2     |~BADKEY~                                                
TH     ไ 2     |~BADKEY~                                              
TH200001 2     |~BADKEY~                                                
ID     DS2     |~BADKEY~                                                
TH51000  2     |~BADKEY~                                                
VN     LC1     |~BADKEY~                                                
ID     AR2     |~BADKEY~                                                
ID17530  1     |~BADKEY~                                                
TH     เ 2     |~BADKEY~                                              
TH106001 2     |~BADKEY~                                                
  104001 2     |~BADKEY~                                                
ID14450PL2     |~BADKEY~                                                
VN     VN2     |~BADKEY~                                                
ID     GT2     |~BADKEY~                                                
ID65141  2     |~BADKEY~                                                
TH     1 2     |~BADKEY~                                                
TH33000  2     |~BADKEY~                                                
VN     UK1     |~BADKEY~                                                
ID     VL2     |~BADKEY~                                                
ID13560  2     |~BADKEY~                                                
TH73110  2     |~BADKEY~                                                
VN21000GN1     |~BADKEY~                                                
ID11710  1     |~BADKEY~                                                
VN       1     |~BADKEY~                                                
ID14350SN2     |~BADKEY~                                                
ID     N 2     |~BADKEY~                                                
ID     SN2     |~BADKEY~                                                
TH15000  2     |~BADKEY~                                                
ID     BS2     |~BADKEY~                                                
ID     DK2     |~BADKEY~                                                
ID13220  2     |~BADKEY~                                                
ID13720  2     |~BADKEY~                                                
ID16961  2     |~BADKEY~                                                
TH13000  2     |~BADKEY~                                                
ID     BN2     |~BADKEY~                                                
ID     KV2     |~BADKEY~                                                
TH103102 2     |~BADKEY~                                                
TH10540  2     |~BADKEY~                                                
TH36000  2     |~BADKEY~                                                
ID     KT2     |~BADKEY~                                                
ID     TM2     |~BADKEY~                                                
TH10150  2     |~BADKEY~                                                
VN     ĐN1     |~BADKEY~                                               
VN     7 1     |~BADKEY~                                                
VN     DN1     |~BADKEY~                                                
VN     KH1     |~BADKEY~                                                
ID     NG2     |~BADKEY~                                                
ID     PK2     |~BADKEY~                                                
ID     RK2     |~BADKEY~                                                
ID     RM2     |~BADKEY~                                                
ID14440  2     |~BADKEY~                                                
TH101101 2     |~BADKEY~                                                
TH10240  2     |~BADKEY~                                                
ID13810  2     |~BADKEY~                                                
VN     BR2     |~BADKEY~                                                
VN     NG1     |~BADKEY~                                                
ID     CM2     |~BADKEY~                                                
ID     CN2     |~BADKEY~                                                
ID     TL2     |~BADKEY~                                                
ID20211  2     |~BADKEY~                                                
VN     "P1     |~BADKEY~                                                
  101601 2     |~BADKEY~                                                
ID     TN1     |~BADKEY~                                                
TH101202 2     |~BADKEY~                                                
TH10240  1     |~BADKEY~                                                
TH102601 2     |~BADKEY~                                                
ID     RY2     |~BADKEY~                                                
TH10130  2     |~BADKEY~                                                
VN     GN2     |~BADKEY~                                                
ID     BD2     |~BADKEY~                                                
ID     GR1     |~BADKEY~                                                
TH10270  2     |~BADKEY~                                                
TH10280  2     |~BADKEY~                                                
TH74110  2     |~BADKEY~                                                
VN     LN2     |~BADKEY~                                                
ID     KM2     |~BADKEY~                                                
ID16451  2     |~BADKEY~                                                
VN     "V1     |~BADKEY~                                                
VN     SN2     |~BADKEY~                                                
ID     BK2     |~BADKEY~                                                
ID     ML2     |~BADKEY~                                                
ID15414  2     |~BADKEY~                                                
ID     BG2     |~BADKEY~                                                
ID12330  2     |~BADKEY~                                                
TH102302 2     |~BADKEY~                                                
TH10330  2     |~BADKEY~                                                
ID15112  2     |~BADKEY~                                                
ID10510  2     |~BADKEY~                                                
TH     4 2     |~BADKEY~                                                
TH102301 2     |~BADKEY~                                                
TH901101 2     |~BADKEY~                                                
ID     KP2     |~BADKEY~                                                
TH10110  1     |~BADKEY~                                                
TH102502 2     |~BADKEY~                                                
VN     GV2     |~BADKEY~                                                
VN     HP1     |~BADKEY~                                                
       3 2     |~BADKEY~                                                
ID     LN2     |~BADKEY~                                                
ID     PD2     |~BADKEY~                                                
ID90241  2     |~BADKEY~                                                
TH     9 2     |~BADKEY~                                                
TH104001 2     |~BADKEY~                                                
ID     AN2     |~BADKEY~                                                
VN     NH2     |~BADKEY~                                                
VN     "X2     |~BADKEY~                                                
ID     RW2     |~BADKEY~                                                
ID15412  2     |~BADKEY~                                                
ID16111  2     |~BADKEY~                                                
TH10300  2     |~BADKEY~                                                
TH10400  2     |~BADKEY~                                                
