"SEST"	"SESTIERE"
"SGIO"	"SOTTOPASSAGGIO"
"SLEA"	"SCALEA"
"SLPR"	"STRADELLA I"
"SLQU"	"STRADELLA IV"
"SLSE"	"STRADELLA II"
"SLTR"	"STRADELLA III"
"SNAZ"	"STRADA NAZIONALE"
"SOBG"	"SOBBORGO"
"SOTT"	"SOTTO"
"SP"	"STRADA PROVINCIALE"
"SPAZ"	"SPAZIO"
"SPD"	"SPADARIA"
"SPI"	"SPIAGGIA"
"SPL"	"SPALTO"
"SPNT"	"SPIANATA"
"SPTE"	"SOTTOPONTE"
"SPTO"	"SUPPORTO"
"SRIA"	"STRETTOIA"
"SS"	"STRADA STATALE"
"SSTR"	"SUPERSTRADA"
"STAR"	"STRADA ARGINALE"
"STAZ"	"STAZIONE"
"STBG"	"SOTTOBORGO"
"STCC"	"STRADA COM CUPA"
"STCO"	"STRADA COMUNALE"
"STLA"	"STRADELLA"
"STLE"	"STRADALE"
"STMR"	"SOTTOLEMURA"
"STNE"	"STRADONE"
"STPC"	"SOTTOPORTICO"
"STPV"	"STRADA PRIVATA"
"STQT"	"STRADA V"
"STR"	"STRADA"
"STRP"	"STRUPPA"
"STRU"	"STRADA RURALE"
"STS"	"STANDS"
"STSS"	"STRADA VI"
"STTA"	"SCALETTA"
"STTE"	"SCALETTE"
"STTL"	"STRETTOLA"
"STTO"	"STRETTO"
"STV"	"SOTTOVIA"
"STVE"	"STRADA VECCHIA"
"STVN"	"STRADA VICINALE"
"SUPP"	"SUPPORTICO"
"SVC"	"STRADA VICINIALE"
"SVIN"	"SVINCOLO"
"TAN"	"TANGENTE"
"TANG"	"TANGENZIALE"
"TANS"	"TANGENZIALE SUD"
"TENU"	"TENUTA"
"TERR"	"TERRAZZA"
"TOND"	"TONDO"
"TOR"	"TORRE"
"TORR"	"TORRENTE"
"TPRP"	"TRAVERSA I PRIVATA"
"TRAG"	"TRAGHETTO"
"TRAS"	"TRASVERSALE"
"TRAT"	"TRATTO"
"TRAV"	"TRAVERSA"
"TRES"	"TRESANDA"
"TRIV"	"TRIVIO"
"TRNC"	"TRONCO"
"TRPR"	"TRATTO I"
"TRPV"	"TRAVERSA PRIVATA"
"TRQU"	"TRATTO IV"
"TRSE"	"TRATTO II"
"TRSS"	"TRAVERSA VI"
"TRTA"	"TRATTA"
"TRTI"	"TRATTI"
"TRTR"	"TRATTO III"
"TRVA"	"TRAVERSA A"
"TRVB"	"TRAVERSA B"
"TRVC"	"TRAVERSA C"
"TRVD"	"TRAVERSA D"
"TSEP"	"TRAVERSA II PRIVATA"
"TVDE"	"TRAVERSA X"
"TVNO"	"TRAVERSA IX"
"TVOT"	"TRAVERSA VIII"
"TVPR"	"TRAVERSA I"
"TVQA"	"TRAVERSA XIV"
"TVQT"	"TRAVERSA V"
"TVQU"	"TRAVERSA IV"
"TVSE"	"TRAVERSA II"
"TVST"	"TRAVERSA VII"
"TVTR"	"TRAVERSA III"
"TVUN"	"TRAVERSA XI"
"V"	"VIA"
"VALL"	"VALLE"
"VALTA"	"VALLETTA"
"VANE"	"VALLONE"
"VARC"	"VARCO"
"VARG"	"VIA ARGINALE"
"VCCH"	"VICO CHIUSO"
"VCDE"	"VICO X"
"VCDN"	"VICO XIX"
"VCDO"	"VICO XII"
"VCDS"	"VICO XVII"
"VCDT"	"VICO XVIII"
"VCHI"	"VICHI"
"VCLI"	"VICOLI"
"VCLO"	"VICOLO"
"VCLU"	"VICO LUNGO"
"VCML"	"VIA COMUNALE"
"VCNO"	"VICO IX"
"VCOT"	"VICO VIII"
"VCPR"	"VICO I"
"VCQA"	"VICO XIV"
"VCQC"	"VICO XV"
"VCQT"	"VICO V"
"VCQU"	"VICO IV"
"VCSD"	"VICO XVI"
"VCSE"	"VICO II"
"VCSS"	"VICO VI"
"VCST"	"VICO VII"
"VCTC"	"VICO XIII"
"VCTI"	"VICOLETTI"
"VCTR"	"VICO III"
"VCUN"	"VICO XI"
"VCVC"	"VICO XXV"
"VCVD"	"VICO XXII"
"VCVE"	"VICO XX"
"VCVQ"	"VICO XXIV"
"VCVR"	"VICO XXIII"
"VCVS"	"VICO XXVI"
"VCVT"	"VICO XXVII"
"VCVU"	"VICO XXI"
"VDTO"	"VIADOTTO"
"VIACO"	"VIACOLO"
"VICL"	"VICINALE"
"VILL"	"VILLAGGIO"
"VINF"	"VIA INFERIORE"
"VIPR"	"VIA I"
"VISE"	"VIA II"
"VLE"	"VIALE"
"VLEP"	"VIALE I"
"VLES"	"VIALE II"
"VLLA"	"VILLA"
"VLNE"	"VIALONE"
"VLNI"	"VILLINI"
"VLNO"	"VILLINO"
"VLPR"	"VICOLO I"
"VLTA"	"VILLETTA"
"VLTT"	"VIALETTO"
"VNAZ"	"VIA NAZIONALE"
"VNTN"	"VOLTONE"
"VOC"	"VOCABOLO"
"VOLT"	"VOLTA"
"VPRO"	"VIA PROVINCIALE"
"VPRV"	"VIA PRIVATA"
"VRUR"	"VIA RURALE"
"VSUP"	"VIA SUPERIORE"
"VTLO"	"VIOTTOLO"
"VTTO"	"VICOLETTO"
"VVIC"	"VIA VICINALE"
"VZA"	"VIUZZA"
"VZZO"	"VIUZZO"
