US     MN      |~BADKEY~                                                
US85128        |~BADKEY~                                                
US90012        |~BADKEY~                                                
US90621        |~BADKEY~                                                
US97080        |~BADKEY~                                                
US97267        |~BADKEY~                                                
US00000HFJ18   |~BADKEY~                                                
US00653        |~BADKEY~                                                
US02863        |~BADKEY~                                                
US02904        |~BADKEY~                                                
US07522        |~BADKEY~                                                
US08009        |~BADKEY~                                                
US08822        |~BADKEY~                                                
US10456        |~BADKEY~                                                
US11361        |~BADKEY~                                                
US14094        |~BADKEY~                                                
US14207        |~BADKEY~                                                
US14559        |~BADKEY~                                                
US19050        |~BADKEY~                                                
US19454        |~BADKEY~                                                
US22960        |~BADKEY~                                                
US23454        |~BADKEY~                                                
US26330        |~BADKEY~                                                
US29078        |~BADKEY~                                                
US30314        |~BADKEY~                                                
US30501        |~BADKEY~                                                
US31308        |~BADKEY~                                                
US32826        |~BADKEY~                                                
US33141        |~BADKEY~                                                
US33156        |~BADKEY~                                                
US33351        |~BADKEY~                                                
US33936        |~BADKEY~                                                
US34601        |~BADKEY~                                                
US41101        |~BADKEY~                                                
US41224        |~BADKEY~                                                
US43227        |~BADKEY~                                                
US44089        |~BADKEY~                                                
US45121        |~BADKEY~                                                
US45223        |~BADKEY~                                                
US45238        |~BADKEY~                                                
US46222        |~BADKEY~                                                
US47714        |~BADKEY~                                                
US48038        |~BADKEY~                                                
US48708        |~BADKEY~                                                
US49341        |~BADKEY~                                                
US60098        |~BADKEY~                                                
US64089        |~BADKEY~                                                
US65721        |~BADKEY~                                                
US66607        |~BADKEY~                                                
US68803        |~BADKEY~                                                
US70072        |~BADKEY~                                                
US77069        |~BADKEY~                                                
US80220        |~BADKEY~                                                
US84095        |~BADKEY~                                                
US86508        |~BADKEY~                                                
US89014        |~BADKEY~                                                
US90001        |~BADKEY~                                                
US90018        |~BADKEY~                                                
US92308        |~BADKEY~                                                
US92672        |~BADKEY~                                                
US92879        |~BADKEY~                                                
US93703        |~BADKEY~                                                
US94539        |~BADKEY~                                                
US95366        |~BADKEY~                                                
US96753        |~BADKEY~                                                
US97051        |~BADKEY~                                                
US98208        |~BADKEY~                                                
US98686        |~BADKEY~                                                
US     2TH     |~BADKEY~                                                
US     HS      |~BADKEY~                                                
US00000FR 1    |~BADKEY~                                                
US00000GN 37   |~BADKEY~                                                
US00000HMP23   |~BADKEY~                                                
US00000TNT     |~BADKEY~                                                
US01850        |~BADKEY~                                                
US02879        |~BADKEY~                                                
US06062        |~BADKEY~                                                
US08110        |~BADKEY~                                                
US10475        |~BADKEY~                                                
US11422        |~BADKEY~                                                
US11747        |~BADKEY~                                                
US15219        |~BADKEY~                                                
US17601        |~BADKEY~                                                
US17756        |~BADKEY~                                                
US17847        |~BADKEY~                                                
US20011        |~BADKEY~                                                
US20110        |~BADKEY~                                                
US22408        |~BADKEY~                                                
US26452        |~BADKEY~                                                
US26501        |~BADKEY~                                                
US27101        |~BADKEY~                                                
US27604        |~BADKEY~                                                
US28607        |~BADKEY~                                                
US30038        |~BADKEY~                                                
US30052        |~BADKEY~                                                
US32351        |~BADKEY~                                                
US32605        |~BADKEY~                                                
US33541        |~BADKEY~                                                
US33594        |~BADKEY~                                                
US34287        |~BADKEY~                                                
US35085        |~BADKEY~                                                
US39574        |~BADKEY~                                                
US42103        |~BADKEY~                                                
US42701        |~BADKEY~                                                
US43138        |~BADKEY~                                                
US44905        |~BADKEY~                                                
US45224        |~BADKEY~                                                
US46112        |~BADKEY~                                                
US46410        |~BADKEY~                                                
US46750        |~BADKEY~                                                
US47720        |~BADKEY~                                                
US48315        |~BADKEY~                                                
US48386        |~BADKEY~                                                
US49079        |~BADKEY~                                                
US49426        |~BADKEY~                                                
US60178        |~BADKEY~                                                
US65026        |~BADKEY~                                                
US67010        |~BADKEY~                                                
US68105        |~BADKEY~                                                
US71446        |~BADKEY~                                                
US75253        |~BADKEY~                                                
US75501        |~BADKEY~                                                
US75662        |~BADKEY~                                                
US76137        |~BADKEY~                                                
US78412        |~BADKEY~                                                
US79936        |~BADKEY~                                                
US84604        |~BADKEY~                                                
US89139        |~BADKEY~                                                
US90041        |~BADKEY~                                                
US90065        |~BADKEY~                                                
US90602        |~BADKEY~                                                
US90810        |~BADKEY~                                                
US91342        |~BADKEY~                                                
US91731        |~BADKEY~                                                
US91786        |~BADKEY~                                                
US92231        |~BADKEY~                                                
US92532        |~BADKEY~                                                
US92807        |~BADKEY~                                                
