IT80136        |~BADKEY~                                                
IT10139        |~BADKEY~                                                
IT20812        |~BADKEY~                                                
IT66034        |~BADKEY~                                                
IT95030        |~BADKEY~                                                
IT00169        |~BADKEY~                                                
IT13900        |~BADKEY~                                                
IT20141        |~BADKEY~                                                
IT23900        |~BADKEY~                                                
IT31030        |~BADKEY~                                                
IT47922        |~BADKEY~                                                
IT5100         |~BADKEY~                                                
IT12           |~BADKEY~                                                
IT50144        |~BADKEY~                                                
IT20091        |~BADKEY~                                                
IT20151        |~BADKEY~                                                
IT23100        |~BADKEY~                                                
IT24010        |~BADKEY~                                                
IT47924        |~BADKEY~                                                
IT54321TS1     |~BADKEY~                                                
IT73040        |~BADKEY~                                                
IT80126        |~BADKEY~                                                
IT89900        |~BADKEY~                                                
IT05100        |~BADKEY~                                                
IT10036        |~BADKEY~                                                
IT41125        |~BADKEY~                                                
IT80059        |~BADKEY~                                                
IT80122        |~BADKEY~                                                
IT90145        |~BADKEY~                                                
IT06049        |~BADKEY~                                                
IT10154        |~BADKEY~                                                
IT20148        |~BADKEY~                                                
IT80070        |~BADKEY~                                                
IT00134        |~BADKEY~                                                
IT25127        |~BADKEY~                                                
IT29010        |~BADKEY~                                                
IT40017        |~BADKEY~                                                
IT60123        |~BADKEY~                                                
IT74121        |~BADKEY~                                                
IT80023        |~BADKEY~                                                
IT90146        |~BADKEY~                                                
IT19020        |~BADKEY~                                                
IT20010        |~BADKEY~                                                
IT30175        |~BADKEY~                                                
IT66020        |~BADKEY~                                                
IT80021        |~BADKEY~                                                
IT92019        |~BADKEY~                                                
IT10078        |~BADKEY~                                                
IT19038        |~BADKEY~                                                
IT37138        |~BADKEY~                                                
IT44124        |~BADKEY~                                                
IT70023        |~BADKEY~                                                
IT74015        |~BADKEY~                                                
IT80026        |~BADKEY~                                                
IT82030        |~BADKEY~                                                
IT03100        |~BADKEY~                                                
IT20158        |~BADKEY~                                                
IT20900        |~BADKEY~                                                
IT24044        |~BADKEY~                                                
IT25030        |~BADKEY~                                                
IT27020        |~BADKEY~                                                
IT31040        |~BADKEY~                                                
IT43123        |~BADKEY~                                                
IT60015        |~BADKEY~                                                
IT80017        |~BADKEY~                                                
IT04011        |~BADKEY~                                                
IT139          |~BADKEY~                                                
IT64100        |~BADKEY~                                                
IT86039        |~BADKEY~                                                
IT16154        |~BADKEY~                                                
IT30027        |~BADKEY~                                                
IT37135        |~BADKEY~                                                
IT38121        |~BADKEY~                                                
IT70126        |~BADKEY~                                                
IT80123        |~BADKEY~                                                
IT95040        |~BADKEY~                                                
IT04023        |~BADKEY~                                                
IT10100        |~BADKEY~                                                
IT24020        |~BADKEY~                                                
IT38122        |~BADKEY~                                                
IT70037        |~BADKEY~                                                
IT90121        |~BADKEY~                                                
IT00132        |~BADKEY~                                                
IT00176        |~BADKEY~                                                
IT13100        |~BADKEY~                                                
IT43036        |~BADKEY~                                                
IT54100        |~BADKEY~                                                
IT56017        |~BADKEY~                                                
IT22030        |~BADKEY~                                                
IT80137        |~BADKEY~                                                
IT81100        |~BADKEY~                                                
IT00010        |~BADKEY~                                                
IT09045        |~BADKEY~                                                
IT20137        |~BADKEY~                                                
IT20834        |~BADKEY~                                                
IT88046        |~BADKEY~                                                
IT90123        |~BADKEY~                                                
IT00157        |~BADKEY~                                                
IT00165        |~BADKEY~                                                
IT11100        |~BADKEY~                                                
IT25124        |~BADKEY~                                                
IT25128        |~BADKEY~                                                
IT33010        |~BADKEY~                                                
IT35040        |~BADKEY~                                                
IT40050        |~BADKEY~                                                
IT40139        |~BADKEY~                                                
IT60044        |~BADKEY~                                                
IT80129        |~BADKEY~                                                
IT00144        |~BADKEY~                                                
IT20017        |~BADKEY~                                                
IT20129        |~BADKEY~                                                
IT20146        |~BADKEY~                                                
IT22100        |~BADKEY~                                                
IT33080        |~BADKEY~                                                
IT46030        |~BADKEY~                                                
IT55100        |~BADKEY~                                                
IT76121        |~BADKEY~                                                
IT87064        |~BADKEY~                                                
IT90142        |~BADKEY~                                                
IT95037        |~BADKEY~                                                
IT00167        |~BADKEY~                                                
IT20064        |~BADKEY~                                                
IT20092        |~BADKEY~                                                
IT20099        |~BADKEY~                                                
IT20142        |~BADKEY~                                                
IT20871        |~BADKEY~                                                
IT50050        |~BADKEY~                                                
IT70033        |~BADKEY~                                                
IT95127        |~BADKEY~                                                
IT39100        |~BADKEY~                                                
IT00119        |~BADKEY~                                                
IT20833        |~BADKEY~                                                
IT57023        |~BADKEY~                                                
IT60131        |~BADKEY~                                                
IT00188        |~BADKEY~                                                
IT10147        |~BADKEY~                                                
IT20152        |~BADKEY~                                                
IT41049        |~BADKEY~                                                
IT64026        |~BADKEY~                                                
IT80121        |~BADKEY~                                                
IT46040        |~BADKEY~                                                
IT70100        |~BADKEY~                                                
IT80038        |~BADKEY~                                                
IT00052        |~BADKEY~                                                
IT21047        |~BADKEY~                                                
IT50126        |~BADKEY~                                                
IT00121        |~BADKEY~                                                
IT27058        |~BADKEY~                                                
IT7100         |~BADKEY~                                                
IT72015        |~BADKEY~                                                
IT20020        |~BADKEY~                                                
